;Artist;Title;Date;Genre;Label;CriticScore;CriticNum;UserScore;UserNum
960;Coffin Curse;Ceased To Be;January 27;Death Metal;Sonido Origen Studio;NR;0;74;2
961;worriedaboutsatan;Crystalline;January 27;;- ;NR;0;72;2
962;Different Light;Binary Suns (Part 1 - Operant Condition);January 27;;- ;NR;0;72;2
963;Koza;Patologya;January 27;;- ;NR;0;55;2
964;Proscrito;Llagas y estigmas;January 27;-;Memento Mori;NR;0;63;1
965;Darkohtrash;My Jealous Demon;January 27;;- ;NR;0;75;1
966;Viacheslav Lapshin;MYR;January 27;;- ;NR;0;73;1
967;Zaphyre;lifeforce;January 27;-;Syncope Records;NR;0;84;1
968;Luis Miehlich;Currents;January 27;-;Inner Space Travels;NR;0;65;1
969;Ibilex;grave tapes;January 27;-;Irony Records;NR;0;45;1
970;Lil Blood;Lil Larry From DogTown;January 27;-;3rd World Mob;NR;0;NR;0
971;Shadowquest;Gallows of Eden;January 27;-;Garelock Records;NR;0;NR;0
972;Wintaar;The Revelation;January 27;;- ;NR;0;NR;0
973;PenPals & Marvolus Jay;Good Clean Fun;January 27;-;Expanded-Art-Records;NR;0;NR;0
974;Jahn Dough;Obsidian;January 28;-;DalMar Entertainment;NR;0;73;22
975;Various Artists;Acorda Amor;January 28;-;Selo Sesc;NR;0;76;6
976;Thirdorgan;Thirdorgan;January 28;-;No Rent Records;NR;0;65;2
977;Peyton;Roller Coaster;January 28;-;Peyton;NR;0;98;1
978;Bong Wizard;Left Hand Pass;January 28;;- ;NR;0;50;1
979;Dubioza Kolektiv;#fakenews;January 28;;- ;NR;0;75;1
980;Degoya;Fragmenta;January 28;;- ;NR;0;80;1
981;Speculative Ero;Speculative Ero Vol. 1;January 28;-;Ominira;NR;0;54;1
982;Tenchoo;Live From The Crojo;January 28;-;Tenchoo;NR;0;70;1
983;Jhershey;Vibrations;January 28;-;Club Hershey Records;NR;0;60;1
984;Alphaxone, ProtoU, Onasander;Shadows of Forgotten Legends;January 28;-;Cryo Chamber;NR;0;76;1
985;Blak Prophet;Make East Coast Boom Bap Great Again;January 28;-;Timole Doolam;NR;0;67;1
986;Darryl B.;Critical Power Unleashed;January 28;-;Self-released;NR;0;NR;0
987;Barbie;Body;January 28;-;Revolution Records;NR;0;NR;0
988;DIMLIM;MISC.;January 28;;- ;NR;0;NR;0
989;Tricot;真っ黒;January 29;;Math Rock ;NR;0;74;147
990;GEZAN;狂 (Klue);January 29;-;十三月;NR;0;62;22
991;AceMoMa;A New Dawn;January 29;-;HAUS of ALTR;76;1;73;1
992;Lil Eggnog;Oh Shit 2;January 29;;- ;NR;0;10;11
993;OTHERLiiNE;OTHERLiiNE;January 29;-;OTHERLiiNE;NR;0;64;9
994;DJ Speedsick;Blood Mixed With Shit Mixed With Blood;January 29;-;Psychic Liberation;NR;0;73;3
995;Big Banarde;BADGYAL;January 29;-;apple records;NR;0;70;3
996;NGHTCRWLR;Let The Children Scream;January 29;-;Amniote Editions;NR;0;69;3
997;Rob;Gretel & Hansel (Original Motion Picture Soundtrack);January 29;-;Waxwork Records;NR;0;72;2
998;Въеби ему, Донателло!;Сутки через двое;January 29;;- ;NR;0;69;2
999;Pilha;Morte após a vida, paraíso de terra;January 29;;- ;NR;0;85;2
1000;Dj Doraemon;African Voices;January 29;-;Basy Tropikalne;NR;0;70;1
1001;Against The System;Insomnia;January 29;;- ;NR;0;70;1
1002;Dj Doraemon;African Voices;January 29;-;Basy Tropikalne;NR;0;70;1
1003;Against The System;Insomnia;January 29;;- ;NR;0;70;1
1004;SHISHAMO;SHISHAMO 6;January 29;;Pop Rock, J-Pop ;NR;0;68;1
1005;Lovebites;Electric Pentagram;January 29;-;JPU Records;60;1;76;1
1006;Madame X;Я Богиня Всего Мира;January 29;-;Glory Records;NR;0;NR;0
1007;Camoflauge Monk;Magician's Mistress;January 29;;- ;NR;0;NR;0
1008;MoMa Ready / Gallery S;Gallery S;January 30;-;Haus of Altr;NR;0;76;14
1009;Tom Sawyer;Daddy 2;January 30;;- ;NR;0;3;13
1010;Villaelvin;Head Roof;January 30;-;HAKUNA KULALA;NR;0;76;13
1011;Mobius;Kala;January 30;-;Convulsound Productions;NR;0;70;7
1012;Internazionale;Sillage Of The Blue Summer;January 30;-;Janushoved;NR;0;74;2
1013;Guilt Attendant;Suburban Scum;January 30;-;Hospital Productions;NR;0;76;2
1014;Duenn & Brian Grainger;Absence / 不在;January 30;-;Psøma Psi Phi;NR;0;60;1
1015;Sonic Death;RUSSIAN GOTHIC;January 30;;- ;NR;0;64;1
1016;Michael Elliot;Retro Summer;January 30;-;June 87 Recordings;NR;0;70;1
1017;Rapace;Droseraceae;January 30;-;Nature Noise Wall;NR;0;62;1
1018;.birdeater.;Suntiger;January 30;-;Nature Noise Wall;NR;0;60;1
1019;GZG;Mother Nature lll: South Side;January 30;-;Nature Noise Wall;NR;0;50;1
1020;GZG;Mother Nature lV: North Side;January 30;-;Nature Noise Wall;NR;0;42;1
1021;GZG;Mother Nature lll: South Side;January 30;-;Nature Noise Wall;NR;0;50;1
1022;GZG;Mother Nature lV: North Side;January 30;-;Nature Noise Wall;NR;0;42;1
1023;Acetantina;Temple of Null;January 30;;- ;NR;0;70;1
1024;Sonus Mortis;Hold This Mortal Coil;January 30;;- ;NR;0;NR;0
1025;Rölling Stëins;Rölled Göld;January 30;-;Tribe Tapes;NR;0;NR;0
1026;Kesha;High Road;January 31;Pop;Kemosabe;71;22;60;22
1027;Destroyer;Have We Met;January 31;Synthpop, Art Pop;Merge;77;21;72;21
1028;Dan Deacon;Mystic Familiar;January 31;Neo-Psychedelia, Indietronica;Domino;76;16;75;16
1029;Lil Wayne;Funeral;January 31;Trap Rap, Pop Rap;Young Money;60;11;50;11
1030;TORRES;Silver Tongue;January 31;Indie Rock, Art Pop;Merge;78;16;73;16
1031;Frances Quinlan;Likewise;January 31;Indie Pop, Singer-Songwriter;Saddle Creek;77;14;71;14
1032;Meghan Trainor;TREAT MYSELF;January 31;Dance Pop, R&B;Epic;48;7;50;7
1033;Louis Tomlinson;Walls;January 31;Pop Rock;Simco;55;8;56;8
1034;Sløtface;Sorry For The Late Reply;January 31;Indie Rock;Propeller;79;10;72;10
1035;Ryan Beatty;Dreaming of David;January 31;Alternative R&B, Indie Pop;Mad Love, Interscope;NR;0;71;169
1036;Squarepusher;Be Up a Hello;January 31;Electronic;Warp;75;13;69;13
1037;Russ;Shake the Snow Globe;January 31;Pop Rap;Diemon, Columbia;83;3;43;3
1038;Leeched;To Dull the Blades of Your Abuse;January 31;Metalcore, Sludge Metal;Prosthetic;88;2;74;2
1039;Blossoms;Foolish Loving Spaces;January 31;Indie Pop, Synthpop;Virgin EMI;72;8;67;8
1040;Poliça;When We Stay Alive;January 31;Indietronica, Art Pop, Synthpop;Memphis Industries;74;14;69;14
1041;Squirrel Flower;I Was Born Swimming;January 31;Indie Rock;Polyvinyl;75;12;72;12
1042;María José Llergo;Sanación;January 31;;Avant-Folk ;NR;0;73;63
1043;Sam Lee;Old Wow;January 31;Folk;Cooking Vinyl;85;4;75;4
1044;Ben Watt;Storm Damage;January 31;Singer-Songwriter, Indie Rock;Caroline International;84;6;68;6
1045;Tha God Fahim;Lost Kingz;January 31;Hip Hop;Nature Sounds;NR;0;70;41
1046;Gengahr;Sanctuary;January 31;Indie Pop;Liberator;70;4;68;4
1047;Yo Gotti;Untrapped;January 31;Trap Rap;Inevitable II, Epic;NR;0;56;39
1048;Drive-By Truckers;The Unraveling;January 31;Americana, Alt-Country;ATO;75;13;67;13
1049;Mint Julep;Stray Fantasies;January 31;Indie Pop, Dream Pop;Western Vinyl;70;2;67;2
1050;Loving;If I Am Only My Thoughts;January 31;Indie Pop, Psychedelic Pop;Last Gang;69;5;71;5
1051;Dune Rats;Hurry Up and Wait;January 31;Garage Punk;BMG;70;6;57;6
1052;Theory of a Deadman;Say Nothing;January 31;Pop Rock;Atlantic;50;3;19;3
1053;The Leonard Simpson Duo (Guilty Simpson & Leonard Charles);LSD;January 31;-;Jakarta Records;69;1;74;1
1054;Smoke Fairies;Darkness Brings The Wonders Home;January 31;Indie Folk;Year Seven;77;3;71;3
1055;Bullant;Tyson, Crying;January 31;-;Flightless;NR;0;72;19
1056;Ocean Florist;everything is a lot*;January 31;-;SPACEAGE;NR;0;53;18
1057;Son Little;aloha;January 31;-;Anti, Epitaph;73;4;73;4
1058;Jelly & Pi'erre Bourne;The Wolf of Peachtree;January 31;Trap Rap;Sosshouse;NR;0;73;17
1059;Krewella;zer0;January 31;Electropop, Trap;Mixed Kids;NR;0;50;17
1060;Lorna Shore;Immortal;January 31;-;Century Media;NR;0;76;14
1061;Andras;Joyful;January 31;-;Beats In Space;74;1;74;1
1062;Andras;Joyful;January 31;-;Beats In Space;74;1;74;1
1063;Pet Shimmers;Face Down in Meta;January 31;-;PS;NR;0;72;13
1064;SQÜRL;Some Music for Robby Müller;January 31;-;Sacred Bones;72;2;72;2
1065;Tall Tall Trees;A Wave of Golden Things;January 31;-;Joyful Noise;70;2;74;2
1066;K. Michelle;All Monsters Are Human;January 31;-;eOne;60;2;67;2
1067;Deathwhite;Grave Image;January 31;Gothic Metal;Season of Mist;NR;0;71;11
1068;Dueling Experts (Verbal Kent & Recognize Ali);Dueling Experts;January 31;-;Mello Music Group;NR;0;71;11
1069;Fennec;Free Us of This Feeling;January 31;;- ;80;1;69;1
1070;Afourteen;SKENG;January 31;-;Spider Gang;NR;0;63;10
1071;Yuri Gagarin;The Outskirts of Reality;January 31;-;Kommun 2 / Sound-Effect;83;2;78;2
1072;Tara Clerkin Trio;Tara Clerkin Trio;January 31;-;Laura Lies In;NR;0;66;9
1073;Brian Brown;Journey;January 31;-;Funky Tenn;NR;0;73;9
1074;Luke James;to feel love/d;January 31;-;Culture Collective, Howling Nights;90;1;72;1
1075;Canshaker Pi;Okay Decay;January 31;Indie Rock;Excelsior Recordings;NR;0;71;9
1076;Wacław Zimpel;Massive Oscillations;January 31;-;Ongehoord;NR;0;70;9
1077;Marc Almond;Chaos and a Dancing Star;January 31;;- ;80;2;66;2
1078;Chediak;Desintegra;January 31;-;LOST BOYS;NR;0;73;8
1079;Majid Bekkas;Magic Spirit Quartet;January 31;-;ACT Music;NR;0;76;8
1080;Lordi;Killection;January 31;-;AFM;NR;0;51;8
1081;Youbet;Compare & Despair;January 31;-;Ba Da Bing!;NR;0;74;7
1082;Prophet;Don't Forget It;January 31;-;Stones Throw Records;NR;0;54;7
1083;Clint Lowery;God Bless the Renegades;January 31;-;Rise;40;1;52;1
1084;10k.caash;Planet Swajjur;January 31;Trap Rap;Def Jam, UMG;63;2;40;2
1085;Nelson Can;So Long Desire;January 31;Indie Pop, Synthpop;Alcopop!;50;1;72;1
1086;Os Amanticidas;Teto;January 31;;- ;NR;0;74;6
1087;Amberian Dawn;Looking for You;January 31;Pop Rock;Napalm Records;NR;0;46;6
1088;The Guru Guru;Point Fingers;January 31;;- ;60;1;64;1
1089;Space Cadet;Total Kaleidoscope Breakdown;January 31;-;self released;NR;0;74;6
1090;Will Guthrie;Nist-Nah;January 31;-;Black Truffle;NR;0;76;6
1091;36 & 扎克;Stasis Sounds For Long​-​Distance Space Travel;January 31;-;Past Inside the Present;NR;0;71;5
1092;Caveboy;Night in the Park, Kiss in the Dark;January 31;;- ;80;2;69;2
1093;Men With Secrets;Psycho Romance and Other Spooky Ballads;January 31;-;The Bunker New York;NR;0;67;5
1094;Terrell Grice;An Invitation to the Cookout;January 31;-;TERRELL MUSIC;NR;0;93;5
1095;Serenity;The Last Knight;January 31;-;Napalm;80;1;59;1
1096;Spencer Brown;Stream Of Consciousness;January 31;-;Anjunabeats;NR;0;69;5
1097;Siavash Amini & Saaad;All Lanes Of Lilac Evening;January 31;-;Opal Tapes;NR;0;63;4
1098;ChillinIt;The Octagon;January 31;-;420 Family;NR;0;55;4
1099;Bodysnatcher;This Heavy Void;January 31;;- ;NR;0;65;4
1100;Yellow Claw;Never Dies;January 31;-;Yellow Claw B.V;NR;0;42;4
1101;Siavash Amini & Saåad;All Lanes of Lilac Evening;January 31;-;Opal Tapes;NR;0;75;4
1102;Kid Francescoli;Lovers;January 31;;Synthpop ;NR;0;63;4
1103;Lil House Phone;BIG PHONE!;January 31;-;Create Music Group;NR;0;25;4
1104;Big Scenic Nowhere;Vision Beyond Horizon;January 31;-;Heavy Psych Sounds Records;NR;0;54;4
1105;Bütcher;666 Goats Carry My Chariot;January 31;-;Osmose;NR;0;67;4
1106;KIRBY;Sis.;January 31;-;KIRBY;NR;0;73;4
1107;Pop Up!;Smooth;January 31;-;business casual;NR;0;62;4
1108;KIRBY;Sis.;January 31;-;KIRBY;NR;0;73;4
1109;Long Distance Poison;Technical Mentality;January 31;-;Hausu Mountain;75;2;59;2
1110;Yann Novak;Further Dismantling;January 31;-;Room40;NR;0;62;3
1111;The Ah;Mere Husk;January 31;-;NNA Tapes;NR;0;80;3
1112;Harborer;Totally, completely.;January 31;-;Harbored Records;NR;0;76;3
1113;MIREI;Take Me Away;January 31;-;Cool Japan Music;NR;0;71;3
1114;Philthy Rich;Hometown Hero;January 31;-;SCMMLLC / EMPIRE;NR;0;51;3
1115;My Bus;Our Life In The Desert;January 31;-;Onomatopoeia;80;1;65;1
1116;David Walters;Soleil Kréyol;January 31;-;Heavenly Sweetness;NR;0;74;3
1117;Monolithe;Okta Khora;January 31;-;Acteurs de l'Ombre;NR;0;64;3
1118;The Rifle;Honeyden;January 31;-;Burger Records;NR;0;75;3
1119;Lucy Johnson;Soundtracks 2013 - 2019 Vol. 1;January 31;Drone;Opal Tapes;NR;0;73;3
1120;The Dustbowl Revival;Is It You, Is It Me;January 31;;- ;80;2;73;2
1121;Walter Martin;The World at Night;January 31;-;Family Jukebox;72;3;74;3
1122;Eladio Carrion;Sauce Boyz;January 31;-;Rimas;NR;0;79;3
1123;Onoe Caponoe;Invisible War;January 31;UK Hip Hop, Abstract Hip Hop, Experimental Hip Hop;High Focus;NR;0;72;3
1124;YlangYlang;Interplay;January 31;-;Crash Symbols;81;2;54;2
1125;Leecher;Deviant;January 31;;- ;NR;0;72;3
1126;Savage Hands;The truth in your eyes;January 31;-;SharpTone Records;60;1;46;1
1127;Joachim Kühn & Mateusz Smoczyński;Speaking Sound;January 31;-;ACT Music;NR;0;78;3
1128;Stömb;From Nihil;January 31;-;Cezame Metal Factory;NR;0;74;3
1129;Asa Tone;Temporary Music;January 31;-;Leaving, PLANCHA;60;1;64;1
1130;Alice Jemima;Everything Changes;January 31;-;Sunday Best;NR;0;65;3
1131;Light Beams;Self Help;January 31;-;Don Giovanni Records;NR;0;70;3
1132;Citizen Boy & Mafia Boyz;From Avoca Hills to the World;January 31;-;GQOM OH!;NR;0;76;3
1133;Awol One;Tony The Walrus;January 31;-;Speakerface Records;NR;0;53;2
1134;Tinsley Ellis;Ice Cream in Hell;January 31;-;Alligator;NR;0;72;2
1135;Гречка;Из доброго в злое;January 31;;- ;NR;0;51;2
1136;Shaam Larein;Sculpture;January 31;;- ;NR;0;66;2
1137;Ross Goldstein;Timoka;January 31;;- ;NR;0;68;2
1138;Long Arm;Silent Opera;January 31;-;Project: Mooncircle;NR;0;76;2
1139;Youngr;Memories;January 31;-;Armada Music B.V.;NR;0;66;2
1140;Momoiro Clover Z;ZZ's;January 31;;- ;NR;0;69;2
1141;Alex Dowling;Reality Rounds;January 31;-;Carrier;NR;0;78;2
1142;Tungorna;Baby;January 31;-;To whom it may concern.;NR;0;72;2
1143;Dakota Suite & Quentin Sirjacq;The Indestructibility of the Already Felled;January 31;-;Schole;NR;0;64;2
1144;Denis Kukoyaka;Bedroomrap;January 31;;- ;NR;0;29;2
1145;Underground Canopy, Bluestaeb, S. Fidelity;Bluestaeb & S. Fidelity Present Underground Canopy;January 31;-;MENACE;NR;0;76;2
1146;Foyone;Presidente;January 31;-;DNC RECORDS;NR;0;81;2
1147;Tryphème;Aluminia;January 31;-;Central Processing Unit;NR;0;80;2
1148;Sedate Illusion;Ungod Me;January 31;;- ;NR;0;80;2
1149;Joey Alexander;Warna;January 31;-;Verve;NR;0;80;2
1150;SAINT PHNX;DDMN;January 31;;- ;NR;0;86;2
1151;ATTLAS;Lavender God;January 31;;- ;NR;0;65;2
1152;Awol One;Tony The Walrus;January 31;-;Speakerface Records;NR;0;53;2
1153;Tinsley Ellis;Ice Cream in Hell;January 31;-;Alligator;NR;0;72;2
1154;Tarek K.I.Z;Golem;January 31;-;EKLAT Tonträger / Warner Music Germany;NR;0;65;1
1155;Nathan Gray;Working Title;January 31;-;End Hits;80;1;60;1
1156;Royal Deceit;Animus;January 31;-;Prime Collective;NR;0;20;1
1157;Jason McMahon;Odd West;January 31;;- ;NR;0;81;1
1158;Prince Swerve;Ideas 02;January 31;;- ;NR;0;60;1
1159;Øyvind Holm;After The Bees;January 31;-;Crispin Glover Records;NR;0;65;1
1160;Sidewalk Tha Villain;Tha Villain Is Back;January 31;-;Ghetto Graduates Records/SoSouth;NR;0;62;1
1161;Zeuz Music;Winter's Here;January 31;-;Zeuz Makes Music;NR;0;70;1
1162;Aly Bass;Desperado;January 31;-;Sony Music Entertainment France;NR;0;55;1
1163;Alex Hills;OutsideIn;January 31;;- ;NR;0;76;1
1164;CVLTVRE;NEW;January 31;-;Dream Catalogue;NR;0;75;1
1165;Omar;The Anthology;January 31;-;Freestyle;90;1;77;1
1166;Thematic;Skyrunner;January 31;-;565837 Records DK;NR;0;50;1
1167;kj;The Forgotten One;January 31;;- ;NR;0;39;1
1168;The World / Inferno Friendship Society;All Borders Are Porous To Cats;January 31;-;Alternative Tentacles;NR;0;79;1
1169;Deutsche Ashram;Whisper Om;January 31;-;Wormer Bros;NR;0;69;1
1170;Kahri 1k;The Ghost of Pecan Acres;January 31;-;Heir Wave Music Group;NR;0;30;1
1171;36;Statis Sounds for Long-Distance Space Travel;January 31;;- ;NR;0;89;1
1172;Asfast;the prime same;January 31;;- ;NR;0;72;1
1173;Triddi;:(;January 31;;- ;NR;0;85;1
1174;Ayọ;Royal;January 31;-;3ème Bureau / Wagram Music;NR;0;70;1
1175;M!R!M;The Visionary;January 31;Synthpop, Dream Pop, Post-Punk;Avant!;NR;0;73;1
1176;Pro The Leader;Aspirational Regret;January 31;-;Black Stone of Mecca / Know the Names Music G;NR;0;73;1
1177;Mon Doux Saigneur;Horizon;January 31;-;Grosse Boite;NR;0;70;1
1178;Pascal Plantinga;Blind on Bikini;January 31;;- ;NR;0;76;1
1179;Dead Kosmonaut;Gravitas;January 31;-;High Roller Records;NR;0;60;1
1180;MoneyMarr;Exotic Habits;January 31;-;1019GunSquad;NR;0;30;1
1181;U;Lowlands;January 31;-;Where to Now;NR;0;66;1
1182;Cary Grace;Lady of Turquoise;January 31;;- ;NR;0;80;1
1183;Dark Matter;Nebula to Black Hole;January 31;;- ;NR;0;79;1
1184;Rob $tone;Stone Cold;January 31;-;Grove Town Records;NR;0;40;1
1185;Automat;Modul;January 31;-;Compost;NR;0;61;1
1186;Guerilla Poubelle;L'ennui;January 31;Punk Rock;Red Scare Industries;NR;0;72;1
1187;Bryan Behr;A Vida É Boa;January 31;-;Universal Music International Ltda.;NR;0;63;1
1188;Nattverd;Styggdom;January 31;-;Osmose Productions;NR;0;76;1
1189;Tiee;Ladrão de Coração, Vol. 1 (Ao Vivo);January 31;-;Som Livre;NR;0;80;1
1190;Louis Sclavis;Happy Mood!;January 31;;- ;NR;0;78;1
1191;Ole Paus;Så nær, så nær;January 31;-;Drabant Music;NR;0;79;1
1192;Crowd Company;Lowdown;January 31;;- ;NR;0;77;1
1193;Sallow Moth;The Larval Hope;January 31;;- ;NR;0;76;1
1194;Bernard Allison;Songs from the Road;January 31;;- ;NR;0;75;1
1195;Kause 4 Konflikt;Fornication Under Control of King;January 31;;- ;NR;0;75;1
1196;108MICS;Barbarism Begins at Home (Brutalism Vol. 6);January 31;;- ;NR;0;60;1
1197;Whettman Chelmets;I Don't Want to Let Go, but I Need to Let Go;January 31;-;Misophonia;NR;0;70;1
1198;Ras Michael;Live by the Spirit;January 31;;Reggae ;NR;0;68;1
1199;Cold Hart;Blissville;January 31;;- ;NR;0;20;1
1200;Thorbjørn Risager & The Black Tornado;Come On In;January 31;;- ;80;1;69;1
1201;Sy Somebody;Life Is Cruel, Let’s Be Friends…;January 31;;- ;NR;0;78;1
1202;Aymeric Maini;winter sun;January 31;;- ;NR;0;80;1
1203;Skanks;New World Order;January 31;-;Anarchy Records;NR;0;74;1
1204;Hackedepicciotto;The Current;January 31;;- ;NR;0;83;1
1205;Alex Ebert;I vs I;January 31;;- ;NR;0;59;1
1206;Aeonian Sorrow;A Life Without;January 31;-;Independent;NR;0;53;1
1207;Eyelids;The Accidental Falls;January 31;-;Jealous Butcher Records;NR;0;75;1
1208;1027;THE LIFE OF PEDRO;January 31;-;Flex Entertainment;NR;0;42;1
1209;Syleena Johnson;Woman;January 31;-;SJ Entertainment/ Entertainment One US LP;NR;0;97;1
1210;Flawes;Highlights;January 31;-;Red Bull;NR;0;60;1
1211;Blackout! Records;Hot Shit Attitude: The Outburst Covers Record;January 31;-;Blackout! Records;NR;0;NR;0
1212;7 Weeks;Sisyphus;January 31;;- ;NR;0;NR;0
1213;Julien Gasc;L'appel de la forêt;January 31;-;Born Bad Records;NR;0;NR;0
1214;Stomb;From Nihil;January 31;-;Cezame Metal Factory;NR;0;NR;0
1215;The Arcana;Mesmer Theatre;January 31;;- ;NR;0;NR;0
1216;Ciudad;Ciudad Forever, Vol. 1;January 31;-;Warner Music Philippines;NR;0;NR;0
1217;Dany Placard;J'connais rien à l'astronomie;January 31;-;Simone Records;NR;0;NR;0
1218;SonReal;The Aaron LP (Deluxe Edition);January 31;-;Black Box Recordings Inc.;NR;0;NR;0
1219;Eternal Doubt;Tales of Roland Tebute;January 31;;- ;NR;0;NR;0
1220;Sycomore;Bloodstone;January 31;-;Argonauta Records;NR;0;NR;0
1221;SonReal;The Aaron LP (Deluxe Edition);January 31;-;Black Box Recordings Inc.;NR;0;NR;0
1222;Dany Placard;J'connais rien à l'astronomie;January 31;-;Simone Records;NR;0;NR;0
1223;Eternal Doubt;Tales of Roland Tebute;January 31;;- ;NR;0;NR;0
1224;Sycomore;Bloodstone;January 31;-;Argonauta Records;NR;0;NR;0
1225;The Weekend Run Club;Zoo;January 31;-;Self-Released;NR;0;NR;0
1226;FUUDGE;Fruit-Dieu;January 31;-;Lazy At Work;NR;0;NR;0
1227;J. Stalin + Da Krse;Wired In;January 31;-;Livewire Records / Bear Witness;NR;0;NR;0
1228;Ian Lecter;Cor da Alma⁷;January 31;-;Independent;NR;0;NR;0
1229;Goats Of Doom;Tie on hänen omilleen;January 31;-;Purity Through Fire;NR;0;NR;0
1230;Mort Rose;Nés pour aimer;January 31;-;Bonbonbon;NR;0;NR;0
1231;Spektre;Against a Dark Background;January 31;-;Kraftek;NR;0;NR;0
1232;Grave Light;Grave Light;January 31;;- ;NR;0;NR;0
1233;Charles Richard-Hamelin - Les Violons Du Roy - Jonathan Cohen;Mozart: Concertos pour piano Nos. 22 & 24;January 31;-;Analekta;NR;0;NR;0
1234;Graverape;Exhuming Decay;January 31;-;Black Rock Recordings;NR;0;NR;0
1235;Mon Doux Seigneur;Horizon;January 31;-;Grosse Boite;NR;0;NR;0
1236;Cage of Creation;Into Nowhere II;January 31;;Post-Punk ;NR;0;NR;0
1237;Dregs One;Ten Thousand Hours;January 31;;- ;NR;0;NR;0
1238;Hällas;Conundrum;January 31;;- ;NR;0;NR;0
1239;Kirra;Redefine;January 31;-;Eclipse;70;1;NR;0
1240;Ad Vitam Infernal;Infernal Comedy;January 31;-;Lavadome Productions;NR;0;NR;0
1241;Moloken;Unveilance of Dark Matter;January 31;-;The Sign Records;NR;0;NR;0
1242;Satan Worship;Teufelssprache;January 31;-;Folter Records;NR;0;NR;0
1243;Stef Bos;Tijd Om Te Gaan Leven;January 31;-;Niemansland;NR;0;NR;0
1244;Serious Black;Suite 226;January 31;-;AFM Records;NR;0;NR;0
1245;Shye;Obscura;February 1,;;- ;NR;0;73;19
1246;Metgumbnerbone;Anthropological Field Recordings For The Dispossessed;February 1,;;- ;NR;0;77;3
1247;The Bedrooms;Passive Viewing;February 1,;Post-Punk;Domestic Departure;NR;0;70;2
1248;Mount Hush;Mount Hush;February 1,;;- ;NR;0;69;2
1249;Takagi Masakatsu;Silent Rain (Original Soundtrack);February 1,;;- ;NR;0;80;1
1250;AL KENT;Disco Demands Part Six;February 1,;;- ;NR;0;70;1
1251;Francesco Paolo Paladino;De Musica Et In Fungorum Effectis;February 1,;;- ;NR;0;85;1
1252;Indoor Voices;Animal;February 1,;;- ;NR;0;75;1
1253;Time Binding Ensemble;Be Still and Know;February 1,;-;Outlet Archival;NR;0;72;1
1254;Alpha Privative;monoclinic;February 1,;;- ;NR;0;63;1
1255;ju ca;Chasms;February 1,;-;angoisse;NR;0;75;1
1256;Duytrg;Verse;February 1,;;- ;NR;0;52;1
1257;Ragnar Vallon;Road To Valhalla;February 1,;-;Ragnar Vallon;NR;0;67;1
1258;Tim Fite;Roar Shack;February 1,;-;Tim Fite;NR;0;NR;0
1259;Seu Jorge;Seu Jorge & Rogê Night Dreamer Direct​-​To​-​Disc Sessions;February 2,;-;Night Dreamer;NR;0;72;9
1260;Rameses B;Cosmonauts;February 2,;;- ;NR;0;47;2
1261;Esham;She Loves Me;February 2,;Abstract Hip Hop;Reel Life Productions;NR;0;69;2
1262;Insideus;Black Mesa;February 2,;-;Shire Records;NR;0;69;1
1263;Мрамор;Мортофилия;February 2,;;- ;NR;0;95;1
1264;Jadu Jadu;lost files;February 2,;-;secret jadu;NR;0;68;1
1265;AppleJuiceBox;fiji juice 69;February 2,;-;sex haver collective lmao;NR;0;100;1
1266;Rainbow Island;illmatrix;February 2,;;- ;NR;0;75;1
1267;Gradis Nice, Fitz Ambro$e;Raw Clipz;February 2,;-;PeaceBrothaMan;NR;0;NR;0
1268;Bomg;Peregrination;February 2,;;Stoner Metal ;70;1;NR;0
1269;Void Droid;Bipolar;February 3,;;- ;NR;0;65;9
1270;LDWG;Hyperidiocracy;February 3,;-;Veyl;NR;0;62;2
1271;TMSV;Clouds;February 3,;;- ;NR;0;65;1
1272;H Lite;Green Youth Heattech;February 3,;;- ;NR;0;80;1
1273;HeartBeatHero;Shadow of the Heart;February 3,;-;HeartBeatHero;NR;0;75;1
1274;No-oN;Monads;February 3,;;- ;NR;0;59;1
1275;Ko Ishikawa, Nikos Sidirokastritis, Giorgos Varoutas, Harris Lambrakis & Anna Linardou;Τhe Depths Above;February 3,;-;Underflow;NR;0;84;1
1276;Sefton Lomax;Night Cycle;February 3,;;- ;NR;0;61;1
1277;Stack Skrilla;The Perfect Stain;February 3,;-;Skrilla Vision;NR;0;NR;0
1278;Double-Shakk: The 16th SaiLor;Stop Stressin 'Bout The 'Rag;February 3,;;- ;NR;0;NR;0
1279;Polly. V;my rep is ruined;February 3,;;- ;NR;0;NR;0
1280;Ray West;Gamma-Ray 404;February 3,;-;Red Apples 45;NR;0;NR;0
1281;Tase;Tase;February 3,;-;FILM;NR;0;NR;0
1282;Furrows;A Thin Veneer;February 3,;-;Courier;80;1;NR;0
1283;Navy Blue;Àdá Irin;February 4,;Abstract Hip Hop;Freedom Sounds;79;1;73;1
1284;Boy Dirt Car;Venice Beach;February 4,;-;No Rent Records;NR;0;63;4
1285;Lovozero;Descend;February 4,;-;Klammklang;NR;0;55;3
1286;DirtyDiggs;Pineapple Fried Rice;February 4,;-;Gold Chain Music;NR;0;60;3
1287;Zopelar;Joy Of Missing Out;February 4,;-;Apron Records;NR;0;71;2
1288;Kausion;Youth-Anasia;February 4,;-;Blocwize Entertainment / Killuminati Music Gr;NR;0;61;2
